as_of_ts,game_id,game_date,home_team,away_team,home_runs_pred,away_runs_pred,total_runs_pred,run_diff_pred,p_home_win_poisson,p_home_model,home_runs_actual,away_runs_actual,home_win_actual,p_home_win_pred,total_runs_actual,home_win_actual_int,predicted_home_win
2026-03-19 18:30:33.503024+00:00,744991,2024-07-21,Texas Rangers,Baltimore Orioles,3.526579455974507,3.398230972550001,6.924810428524507,0.1283484834245061,0.4418716725741544,0.4418716725741544,3,2,True,0.4418716725741544,5,1,0
2026-03-19 18:30:33.503024+00:00,745230,2024-07-21,Seattle Mariners,Houston Astros,4.149599394044,3.7596625437104603,7.909261937754461,0.3899368503335401,0.48276894305426477,0.48276894305426477,6,4,True,0.48276894305426477,10,1,0
2026-03-19 18:30:33.503024+00:00,746853,2024-07-21,Chicago Cubs,Arizona Diamondbacks,4.264204649047338,3.8967461230254057,8.160950772072743,0.3674585260219323,0.47995544880829255,0.47995544880829255,2,1,True,0.47995544880829255,3,1,0
2026-03-19 18:30:36.442743+00:00,744828,2024-07-23,Washington Nationals,San Diego Padres,5.649827677749693,5.332688533398458,10.982516211148152,0.317139144351235,0.4770334457206018,0.4770334457206018,0,4,False,0.4770334457206018,4,0,0
2026-03-19 18:30:36.442743+00:00,745475,2024-07-23,Pittsburgh Pirates,St. Louis Cardinals,4.44351500022352,4.0186581363830065,8.462173136606527,0.4248568638405139,0.4882371030848589,0.4882371030848589,1,2,False,0.4882371030848589,3,0,0
2026-03-19 18:30:37.856263+00:00,746035,2024-07-24,Miami Marlins,Baltimore Orioles,2.7686500987001668,2.584076696107913,5.3527267948080794,0.18457340259225363,0.4427751999977757,0.4427751999977757,6,3,True,0.4427751999977757,9,1,0
2026-03-19 18:30:37.856263+00:00,746119,2024-07-24,Los Angeles Dodgers,San Francisco Giants,2.7363661462719686,2.2228162477086832,4.959182393980652,0.5135498985632854,0.4989328337081518,0.4989328337081518,3,8,False,0.4989328337081518,11,0,0
2026-03-19 18:30:39.278991+00:00,745794,2024-07-25,New York Mets,Atlanta Braves,3.503755929857171,3.4913370800470194,6.99509300990419,0.012418849810151844,0.4249425789947281,0.4249425789947281,3,2,True,0.4249425789947281,5,1,0
2026-03-19 18:30:39.278991+00:00,746199,2024-07-25,Los Angeles Angels,Athletics,3.2058442704737677,2.7599906898384114,5.965834960312179,0.4458535806353563,0.48859363827877356,0.48859363827877356,5,6,False,0.48859363827877356,11,0,0
2026-03-19 21:14:22.958518+00:00,745966,2024-07-27,Milwaukee Brewers,Miami Marlins,4.75636626211665,4.19060496846013,8.94697123057678,0.5657612936565197,0.4810332812461142,0.4810332812461142,3,7,False,0.4810332812461142,10,0,0
2026-03-19 21:14:24.492425+00:00,746929,2024-07-28,Boston Red Sox,New York Yankees,4.491429562028384,4.033432401057558,8.524861963085943,0.45799716097082577,0.47094630761725054,0.47094630761725054,2,8,False,0.47094630761725054,10,0,0
2026-03-19 21:14:26.079167+00:00,745791,2024-07-29,New York Mets,Minnesota Twins,4.168953973793528,3.4893643517354302,7.658318325528958,0.6795896220580975,0.489889990317283,0.489889990317283,15,2,True,0.489889990317283,17,1,0
2026-03-19 21:14:26.079167+00:00,746928,2024-07-29,Boston Red Sox,Seattle Mariners,4.32594439869274,3.9820458296986456,8.307990228391386,0.3438985689940943,0.46030621389762316,0.46030621389762316,14,7,True,0.46030621389762316,21,1,0
2026-03-19 21:14:27.630968+00:00,745787,2024-07-30,New York Mets,Minnesota Twins,3.992354050285138,3.9728585066626123,7.96521255694775,0.0194955436225257,0.42988508855194685,0.42988508855194685,2,0,True,0.42988508855194685,2,1,0
2026-03-19 21:14:29.283470+00:00,745061,2024-07-31,Tampa Bay Rays,Miami Marlins,3.549928685562159,3.0388573549301428,6.588786040492302,0.5110713306320163,0.47177119312746707,0.47177119312746707,2,6,False,0.47177119312746707,8,0,0
2026-03-19 21:14:30.805399+00:00,746849,2024-08-01,Chicago Cubs,St. Louis Cardinals,2.8057608680521375,2.1746198218516444,4.980380689903782,0.6311410462004932,0.48050566439615683,0.48050566439615683,5,4,True,0.48050566439615683,9,1,0
2026-03-19 21:14:32.391586+00:00,745875,2024-08-02,Minnesota Twins,Chicago White Sox,3.702310612917345,2.964486142378,6.666796755295345,0.7378244705393451,0.4947050986942183,0.4947050986942183,10,2,True,0.4947050986942183,12,1,0
2026-03-19 21:14:33.968033+00:00,745636,2024-08-03,Athletics,Los Angeles Dodgers,2.3862539174479114,1.6758485994027503,4.062102516850661,0.710405318045161,0.4875124901971457,0.4875124901971457,0,10,False,0.4875124901971457,10,0,0
2026-03-19 21:14:33.968033+00:00,745876,2024-08-03,Minnesota Twins,Chicago White Sox,3.7126722546331514,3.4786818990628903,7.191354153696041,0.23399035557026115,0.44652802023413507,0.44652802023413507,6,2,True,0.44652802023413507,8,1,0
2026-03-19 21:14:33.968033+00:00,746194,2024-08-03,Los Angeles Angels,New York Mets,2.9301841414660275,2.455916943048239,5.386101084514266,0.47426719841778864,0.4640734920395757,0.4640734920395757,5,4,True,0.4640734920395757,9,1,0
2026-03-19 21:14:35.513358+00:00,745627,2024-08-04,Athletics,Los Angeles Dodgers,2.879353593537995,2.875072088464677,5.7544256820026725,0.004281505073317593,0.4152697449195868,0.4152697449195868,2,3,False,0.4152697449195868,5,0,0
2026-03-19 21:14:35.513358+00:00,746680,2024-08-04,Cincinnati Reds,San Francisco Giants,3.850789797664718,3.0659358381439006,6.916725635808619,0.7848539595208175,0.49952239523613295,0.49952239523613295,2,8,False,0.49952239523613295,10,0,0
2026-03-19 21:14:38.396972+00:00,744901,2024-08-06,Toronto Blue Jays,Baltimore Orioles,4.281740723635969,3.591912093428432,7.873652817064401,0.6898286302075372,0.4910254655353945,0.4910254655353945,5,2,True,0.4910254655353945,7,1,0
